papercode,papername,mcqs,pointers,fillers,mocks
PC04,"Financial Rules, Service Rules and Basic Principles of Government Accounts and CPWA",quiz_list_pc04_mcqs.csv,quiz_list_pc04_pointers.csv,quiz_list_pc04_fillers.csv,NA
PC02,Government Audit,NA,NA,NA,NA
